Name,Capacity,City,State,,,
State Farm Arena,18729,Atlanta,Atlanta,,,
TD Garden,18624,Boston,Massachusetts,,,
Rocket Mortgage FieldHouse,20562,Cleveland,Ohio,,,
Smoothie King Center,,New Orleans,Louisiana,,,
United Center,21711,Chicago,Illinois,,,
American Airlines Center,19200,Dallas,Texas,,,
Ball Arena,,Denver,Colorado,,,
Chase Center,,Golden State,California,,,
Toyota Center,18104,Houston,Texas,,,
STAPLES Center,19060,Los Angeles,California,,,
STAPLES Center,19060,Los Angeles,California,,,
AmericanAirlines Arena,19600,Miami,Florida,,,
Fiserv Forum,17500,Milwaukee,Wisconsin,,,
Target Center,19356,Minnesota,Minnesota,,,
Barclays Center,,Brooklyn,New York,,,
Madison Square Garden,19763,New York,New York,,,
Amway Center,0,Orlando,Florida,,,
Bankers Life Fieldhouse,18345,Indiana,Indiana,,,
Wells Fargo Center,,Philadelphia,Pennsylvania,,,
Phoenix Suns Arena,,Phoenix,Arizona,,,
Moda Center,19980,Portland,Oregon,,,
Golden 1 Center,17500,Sacramento,California,,,
AT&T Center,18694,San Antonio,Texas,,,
Chesapeake Energy Arena,,Oklahoma City,Oklahoma,,,
Amalie Arena,,Toronto,Ontario,,,
Vivint Arena,,Utah,Utah,,,
FedExForum,18119,Memphis,Tennessee,,,
Capital One Arena,20647,Washington,District of Columbia,,,
Little Caesars Arena,,Detroit,Michigan,,,
Spectrum Center,19026,Charlotte,North Carolina,,,